graph_id,graph_nodes,graph_edges,num_nodes,num_edges,average_score,problem_scores,total_evaluation_time,num_problems_evaluated
0,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Solver""], [7, ""Extract_topic""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.76775,"[1.0, 1.0, 0.1, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 0.48999999999999994]",0.5945394039154053,10
1,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Explain""], [6, ""Python_solver""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.724,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.09999999999999999, 1.0, 1.0, 0.13999999999999999]",1.9272971153259277,10
2,"[[0, ""START""], [1, ""Explain""], [2, ""Extract_topic""], [3, ""Split""], [4, ""Extract_topic""], [5, ""Combine_all""], [6, ""END""], [7, ""Solver""]]","[[0, 1], [1, 2], [2, 3], [3, 4], [3, 7], [4, 5], [5, 6], [7, 5]]",8,8,0.12033030303030301,"[0.02333333333333333, 0.3333333333333333, 0.2333333333333333, 0.06363636363636363, 0.049999999999999996, 0.35, 0.09999999999999999, 0.004666666666666667, 0.009999999999999998, 0.034999999999999996]",6.2179814100265505,10
3,"[[0, ""START""], [1, ""Decompose_3""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Explain""], [6, ""Solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [2, 3], [3, 4], [5, 3], [6, 3]]",7,8,0.638625,"[0.65625, 0.35, 1.0, 0.5499999999999999, 0.4666666666666666, 1.0, 0.09999999999999999, 0.5833333333333334, 0.6799999999999999, 1.0]",2.6526409864425657,10
4,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Explain""], [6, ""Extract_topic""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.7433173076923076,"[0.65625, 0.35, 1.0, 1.0, 0.4666666666666666, 1.0, 1.0, 0.5833333333333334, 0.37692307692307686, 1.0]",1.3481636762619018,10
5,"[[0, ""START""], [1, ""Decompose_3""], [2, ""Extract_topic""], [3, ""Combine_all""], [4, ""END""], [5, ""Solver""], [6, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [2, 3], [3, 4], [5, 3], [6, 3]]",7,8,0.715625,"[0.65625, 0.35, 1.0, 1.0, 0.4666666666666666, 1.0, 0.09999999999999999, 0.5833333333333334, 1.0, 1.0]",6.740947842597961,10
6,"[[0, ""START""], [1, ""Decompose_3""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Python_solver""], [6, ""Extract_topic""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [2, 3], [3, 4], [5, 3], [6, 3]]",7,8,0.79975,"[1.0, 1.0, 1.0, 1.0, 0.5599999999999999, 1.0, 0.0875, 1.0, 1.0, 0.35]",4.496168684959412,10
7,"[[0, ""START""], [1, ""Split""], [2, ""Explain""], [3, ""Solver""], [4, ""Combine_all""], [5, ""Python_solver""], [6, ""END""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 7], [2, 3], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.375,"[0.02333333333333333, 0.3333333333333333, 0.2333333333333333, 1.0, 0.049999999999999996, 1.0, 0.075, 1.0, 0.0, 0.034999999999999996]",10.095625066757203,10
8,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Explain""], [6, ""Explain""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.7923863636363636,"[1.0, 1.0, 1.0, 1.0, 0.19999999999999998, 1.0, 0.0875, 1.0, 1.0, 0.6363636363636364]",3.0814221143722533,10
9,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Python_solver""], [6, ""Extract_topic""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.618710626636827,"[1.0, 1.0, 0.1, 1.0, 1.0, 0.33049516849970556, 0.5599999999999999, 1.0, 0.002466029189733266, 0.19414506867883016]",1.7483707427978517,10
10,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Solver""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.6138480392156862,"[0.6176470588235293, 0.35, 1.0, 1.0, 0.5249999999999999, 1.0, 0.09999999999999999, 0.5833333333333334, 0.6124999999999999, 0.35]",1.9486588954925537,10
11,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""Extract_topic""], [5, ""END""], [6, ""Extract_topic""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 7], [7, 3]]",8,8,0.7262500000000001,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.13999999999999999, 0.0875, 1.0, 1.0, 0.034999999999999996]",4.581181597709656,10
12,"[[0, ""START""], [1, ""Explain""], [2, ""Split""], [3, ""Solver""], [4, ""Combine_all""], [5, ""Extract_topic""], [6, ""END""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [2, 3], [2, 7], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.11033030303030303,"[0.02333333333333333, 0.3333333333333333, 0.2333333333333333, 0.06363636363636363, 0.049999999999999996, 0.35, 0.0, 0.004666666666666667, 0.009999999999999998, 0.034999999999999996]",8.845423984527589,10
13,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Solver""], [3, ""Combine_all""], [4, ""Extract_topic""], [5, ""END""], [6, ""Explain""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 7], [7, 3]]",8,8,0.81875,"[1.0, 1.0, 0.1, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 1.0]",22.13985059261322,10
14,"[[0, ""START""], [1, ""Split""], [2, ""Solver""], [3, ""Combine_all""], [4, ""Python_solver""], [5, ""END""], [6, ""Python_solver""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 3]]",7,7,0.38488333333333336,"[0.02333333333333333, 1.0, 0.2333333333333333, 1.0, 1.0, 0.35, 0.0875, 0.004666666666666667, 0.009999999999999998, 0.13999999999999999]",59.16532862186432,10
15,"[[0, ""START""], [1, ""Explain""], [2, ""Extract_topic""], [3, ""Split""], [4, ""Explain""], [5, ""Combine_all""], [6, ""END""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [2, 3], [3, 4], [3, 7], [4, 5], [5, 6], [7, 5]]",8,8,0.058133333333333335,"[0.0, 0.3333333333333333, 0.2333333333333333, 0.0, 0.0, 0.0, 0.0, 0.004666666666666667, 0.009999999999999998, 0.0]",4.895771551132202,10
16,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Extract_topic""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.71875,"[1.0, 1.0, 0.1, 1.0, 1.0, 0.0, 0.0875, 1.0, 1.0, 1.0]",2.6446053981781006,10
17,"[[0, ""START""], [1, ""Split""], [2, ""Solver""], [3, ""Combine_all""], [4, ""Solver""], [5, ""END""], [6, ""Extract_topic""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 7], [7, 3]]",8,8,0.5531704545454545,"[0.65625, 0.35, 1.0, 0.44545454545454544, 0.4666666666666666, 1.0, 0.09999999999999999, 0.5833333333333334, 0.58, 0.35]",6.26195912361145,10
18,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Extract_topic""], [3, ""Python_solver""], [4, ""Combine_all""], [5, ""Solver""], [6, ""END""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 7], [2, 3], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.859227717856496,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 0.5047771785649584]",36.29970512390137,10
19,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Python_solver""], [6, ""Solver""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.9087500000000001,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 1.0]",1.3929887533187866,10
20,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Python_solver""], [6, ""Python_solver""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.8237500000000001,"[1.0, 1.0, 1.0, 1.0, 0.19999999999999998, 1.0, 0.0375, 1.0, 1.0, 1.0]",2.0057138204574585,10
21,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Extract_topic""], [3, ""Combine_all""], [4, ""END""], [5, ""Explain""], [6, ""Extract_topic""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.9087500000000001,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 1.0]",2.952244448661804,10
