,Random Baseline,GAT,GCN,SAGE
P5,0.0,0.580020154373928,0.5741099067599067,0.672
P10,0.120330303030303,0.659888888888889,0.6518666666666667,0.7152765151515151
P25,0.5839648035787741,0.82,0.8123255813953488,0.82
P50,0.6878333333333333,0.8513432835820895,0.82,0.8751666666666666
P75,0.7641552526348556,1.0,1.0,1.0
P90,0.8188,1.0,1.0,1.0
P95,0.8343249999999998,1.0,1.0,1.0
Mean,0.5952137821317363,0.8521808612625142,0.8281188898451941,0.8725144271604939
Std,0.26008528982567586,0.190098624654499,0.2095111937192871,0.1381215422625568
