graph_id,graph_nodes,graph_edges,num_nodes,num_edges,average_score,problem_scores,total_evaluation_time,num_problems_evaluated
14,"[[0, ""START""], [1, ""Explain""], [2, ""Solver""], [3, ""END""]]","[[0, 1], [1, 2], [2, 3]]",4,3,0.5823358014534484,"[0.6176470588235293, 1.0, 0.2333333333333333, 0.44545454545454544, 0.4666666666666666, 1.0, 0.09999999999999999, 0.5833333333333334, 0.37692307692307686, 1.0]",4.257564616203308,10
15,"[[0, ""START""], [1, ""Decompose_3""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Extract_topic""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [2, 3], [3, 4], [5, 3], [6, 3]]",7,8,0.7328731155778894,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.06999999999999999, 0.012499999999999999, 1.0, 0.24623115577889448, 1.0]",3.610908102989197,10
16,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Extract_topic""], [3, ""Explain""], [4, ""Combine_all""], [5, ""Solver""], [6, ""END""], [7, ""Extract_topic""], [8, ""Python_solver""]]","[[0, 1], [1, 2], [1, 7], [2, 3], [3, 4], [4, 5], [5, 6], [7, 8], [8, 4]]",9,9,0.774375,"[0.65625, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0875, 1.0, 1.0, 1.0]",3.7041483163833617,10
17,"[[0, ""START""], [1, ""Extract_topic""], [2, ""Explain""], [3, ""Extract_topic""], [4, ""Split""], [5, ""Explain""], [6, ""Combine_all""], [7, ""END""], [8, ""Extract_topic""]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [4, 8], [5, 6], [6, 7], [8, 6]]",9,9,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.78563129901886,10
18,"[[0, ""START""], [1, ""Extract_topic""], [2, ""Explain""], [3, ""Python_solver""], [4, ""Validator""], [5, ""True_pass""], [6, ""Combine_any""], [7, ""END""], [8, ""False_pass""]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [4, 8], [5, 6], [6, 7], [8, 6]]",9,9,0.735369429464124,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.13999999999999999, 0.0875, 1.0, 1.0, 0.1261942946412396]",7.7458455801010135,10
19,"[[0, ""START""], [1, ""Python_solver""], [2, ""Validator""], [3, ""True_pass""], [4, ""Combine_any""], [5, ""Explain""], [6, ""END""], [7, ""False_pass""], [8, ""Solver""]]","[[0, 1], [1, 2], [2, 3], [2, 7], [3, 4], [4, 5], [5, 6], [7, 8], [8, 4]]",9,9,0.7692277178564958,"[1.0, 1.0, 0.1, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 0.5047771785649584]",14.801794242858886,10
20,"[[0, ""START""], [1, ""Explain""], [2, ""Split""], [3, ""Explain""], [4, ""Solver""], [5, ""Combine_all""], [6, ""Extract_topic""], [7, ""END""], [8, ""Solver""]]","[[0, 1], [1, 2], [2, 3], [2, 8], [3, 4], [4, 5], [5, 6], [6, 7], [8, 5]]",9,9,0.6503068181818181,"[0.3733333333333333, 0.35, 1.0, 1.0, 0.4666666666666666, 1.0, 0.09999999999999999, 0.65625, 0.5568181818181818, 1.0]",12.462177681922913,10
21,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Extract_topic""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Python_solver""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.53625,"[1.0, 1.0, 0.1, 1.0, 0.175, 0.0, 0.0875, 0.0, 1.0, 1.0]",2.6904133796691894,10
22,"[[0, ""START""], [1, ""Decompose_3""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Python_solver""], [6, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [2, 3], [3, 4], [5, 3], [6, 3]]",7,8,0.9087500000000001,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0875, 1.0, 1.0, 1.0]",2.663262391090393,10
23,"[[0, ""START""], [1, ""Solver""], [2, ""Validator""], [3, ""True_pass""], [4, ""Combine_any""], [5, ""Explain""], [6, ""END""], [7, ""False_pass""], [8, ""Explain""]]","[[0, 1], [1, 2], [2, 3], [2, 7], [3, 4], [4, 5], [5, 6], [7, 8], [8, 4]]",9,9,0.7039440559440558,"[0.3230769230769231, 0.35, 1.0, 0.6363636363636364, 0.4666666666666666, 1.0, 1.0, 0.5833333333333334, 0.6799999999999999, 1.0]",12.851226758956908,10
