iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_1_generation_metadata_node_types,step_1_generation_metadata_num_graphs_per_iteration,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_solver,step_3_selection_good_graphs_description_node_type_counts_verifier,step_3_selection_good_graphs_description_node_type_counts_coordinator,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_samples,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_method,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
10,2025-11-10 19:24:18.005931,generation,1.2658,25000,random,3,25000,prediction,0.5459,25000,0.5116807039343958,0.11589575534172286,0.27856101583769605,0.06572564279104255,0.0,selection,10,1000,3513,3552,3413,evaluation,0.0001,10,0.4414826715929151,0.20276865392111418,0.2962820126238,0.07297620079207488,0.7029272675864264,0.0,synthetic_heuristic,training_data_update,10,110,retraining,110,0.006988782609842752
11,2025-11-10 19:24:24.705065,generation,1.1105,25000,random,3,25000,prediction,0.6228,25000,0.5049155066809969,0.12293004063562982,0.2801803666716081,0.06142662597907333,0.0,selection,10,1000,3484,3511,3390,evaluation,0.0001,10,0.48720629989788267,0.11328093101030567,0.2736393957577189,0.10875216190675562,0.7295052001105082,0.0,synthetic_heuristic,training_data_update,10,120,retraining,120,0.007003639712232936
12,2025-11-10 19:24:30.257401,generation,1.2283,25000,random,3,25000,prediction,0.643,25000,0.5247192939748143,0.1337639412375316,0.28064992172161196,0.06375564642966293,0.0,selection,10,1000,3441,3505,3345,evaluation,0.0001,10,0.43254235962422,0.11714263339527226,0.2218027116469521,0.08725572667446371,0.7777863413969779,0.0,synthetic_heuristic,training_data_update,10,130,retraining,130,0.00695219949792614
13,2025-11-10 19:24:36.076111,generation,1.2606,25000,random,3,25000,prediction,0.55,25000,0.5272393390850796,0.12154196051406337,0.2774090679564065,0.06459690199676126,0.0,selection,10,1000,3416,3457,3336,evaluation,0.0001,10,0.37151223325826355,0.16196717784802447,0.2581700198466712,0.07113034276546314,0.7394623813901962,0.0,synthetic_heuristic,training_data_update,10,140,retraining,140,0.006828247389811978
14,2025-11-10 19:24:41.402167,generation,1.095,25000,random,3,25000,prediction,0.5673,25000,0.520666455193118,0.12326048952139228,0.2737535443992375,0.06293370419590805,0.0,selection,10,1000,3398,3420,3297,evaluation,0.0001,10,0.5082110344035715,0.14600989442637755,0.27607250137384187,0.10656087941231333,0.725470938745578,0.0,synthetic_heuristic,training_data_update,10,150,retraining,150,0.006935204013331811
15,2025-11-10 19:24:46.771709,generation,1.1193,25000,random,3,25000,prediction,0.5491,25000,0.5182210661444605,0.11579050222823924,0.27530201782480873,0.06348458036202645,0.0,selection,10,1000,3361,3390,3262,evaluation,0.0001,10,0.4139523075368061,0.11516508880890548,0.3200421755069443,0.08960505252330661,0.6792094571738675,0.0,synthetic_heuristic,training_data_update,10,160,retraining,160,0.006757787970607913
16,2025-11-10 19:24:52.744791,generation,1.4807,25000,random,3,25000,prediction,0.5455,25000,0.5229455947801946,0.11808458656287517,0.2761405544595492,0.06421636407469089,0.0,selection,10,1000,3346,3354,3242,evaluation,0.0001,10,0.4920755426786838,0.17021526318962885,0.3017984365649564,0.10320469416254674,0.6987951982489585,0.0,synthetic_heuristic,training_data_update,10,170,retraining,170,0.0066893680302455745
17,2025-11-10 19:24:58.519996,generation,1.2135,25000,random,3,25000,prediction,0.5497,25000,0.5215233156626669,0.10581058853110803,0.2778293350762691,0.06519023687192646,0.0,selection,10,1000,3310,3322,3215,evaluation,0.0001,10,0.4053503138419146,0.1104856183886507,0.29303742631113483,0.08820063015623068,0.7050161549301368,0.0,synthetic_heuristic,training_data_update,10,180,retraining,180,0.006715922121013894
18,2025-11-10 19:25:04.196684,generation,1.2593,25000,random,3,25000,prediction,0.5644,25000,0.5257154889632029,0.11401049104175473,0.2789270408116829,0.06433176335771294,0.0,selection,10,1000,3281,3293,3182,evaluation,0.0001,10,0.43034196800297064,0.12883718870065294,0.308958085407428,0.08243821032381775,0.6880705076241991,0.0,synthetic_heuristic,training_data_update,10,190,retraining,190,0.0066769640427484815
19,2025-11-10 19:25:09.406869,generation,1.1343,25000,random,3,25000,prediction,0.5456,25000,0.530072312727825,0.12499560477737978,0.2802826875927783,0.062334408786678834,0.0,selection,10,1000,3236,3247,3151,evaluation,0.0001,10,0.47408726231526854,0.14616140577765457,0.32313536851930935,0.11750930579618003,0.678881967347014,0.0,synthetic_heuristic,training_data_update,10,200,retraining,200,0.006824036857908055
20,2025-11-10 19:25:14.663781,generation,1.0717,25000,random,3,25000,prediction,0.544,25000,0.5410400526996042,0.135690930121392,0.28226966898344874,0.06234765661858069,0.0,selection,10,1000,3210,3222,3127,evaluation,0.0002,10,0.5042622549595557,0.19037459020208347,0.3262030402990334,0.10618960264449093,0.6737208020668356,0.0,synthetic_heuristic,training_data_update,10,210,retraining,210,0.006826194495460631
21,2025-11-10 19:25:19.794193,generation,1.0817,25000,random,3,25000,prediction,0.5485,25000,0.569084402825563,0.14998566354524315,0.2843737349447217,0.06280415062641044,0.0,selection,10,1000,3192,3210,3084,evaluation,0.0001,10,0.44102893469474647,0.14038150664394966,0.28294911047366067,0.07903071042518885,0.712568459259944,0.0,synthetic_heuristic,training_data_update,10,220,retraining,220,0.0068016792827905945
22,2025-11-10 19:25:25.064290,generation,1.0876,25000,random,3,25000,prediction,0.5438,25000,0.5671572066455525,0.15209051498102127,0.28322576910310404,0.06219968345654304,0.0,selection,10,1000,3148,3184,3053,evaluation,0.0001,10,0.5436678574825027,0.1651039435055507,0.31194707304725616,0.09939178545065636,0.686043509652322,0.0,synthetic_heuristic,training_data_update,10,230,retraining,230,0.006687602671574056
