graph_id,graph_nodes,graph_edges,num_nodes,num_edges,average_score,problem_scores,total_evaluation_time,num_problems_evaluated
36,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Solver""], [6, ""Solver""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.18585631847381592,10
37,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Explain""], [7, ""Extract_topic""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1732771635055542,10
38,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Python_solver""], [6, ""Extract_topic""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.18573925495147706,10
39,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""Python_solver""], [5, ""END""], [6, ""Extract_topic""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 7], [7, 3]]",8,8,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3517876386642456,10
40,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Explain""], [3, ""Extract_topic""], [4, ""Combine_all""], [5, ""Python_solver""], [6, ""END""], [7, ""Solver""]]","[[0, 1], [1, 2], [1, 7], [2, 3], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.3621774196624756,10
41,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Explain""], [3, ""Combine_all""], [4, ""END""], [5, ""Extract_topic""], [6, ""Solver""], [7, ""Explain""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.19353623390197755,10
42,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Extract_topic""], [3, ""Python_solver""], [4, ""Combine_all""], [5, ""Solver""], [6, ""END""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 7], [2, 3], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.35818455219268797,10
43,"[[0, ""START""], [1, ""Extract_topic""], [2, ""Split""], [3, ""Python_solver""], [4, ""Combine_all""], [5, ""Extract_topic""], [6, ""END""], [7, ""Solver""]]","[[0, 1], [1, 2], [2, 3], [2, 7], [3, 4], [4, 5], [5, 6], [7, 4]]",8,8,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.3318459987640381,10
44,"[[0, ""START""], [1, ""Extract_topic""], [2, ""Explain""], [3, ""Split""], [4, ""Python_solver""], [5, ""Combine_all""], [6, ""END""], [7, ""Extract_topic""]]","[[0, 1], [1, 2], [2, 3], [3, 4], [3, 7], [4, 5], [5, 6], [7, 5]]",8,8,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3640819787979126,10
45,"[[0, ""START""], [1, ""Extract_topic""], [2, ""Explain""], [3, ""Solver""], [4, ""END""]]","[[0, 1], [1, 2], [2, 3], [3, 4]]",5,4,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.25399949550628664,10
46,"[[0, ""START""], [1, ""Decompose_4""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""END""], [5, ""Solver""], [6, ""Explain""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 5], [1, 6], [1, 7], [2, 3], [3, 4], [5, 3], [6, 3], [7, 3]]",8,10,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.19279730319976807,10
47,"[[0, ""START""], [1, ""Split""], [2, ""Solver""], [3, ""Combine_all""], [4, ""Extract_topic""], [5, ""END""], [6, ""Extract_topic""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 7], [7, 3]]",8,8,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.33807284832000734,10
48,"[[0, ""START""], [1, ""Python_solver""], [2, ""Validator""], [3, ""True_pass""], [4, ""Combine_any""], [5, ""END""], [6, ""False_pass""], [7, ""Python_solver""]]","[[0, 1], [1, 2], [2, 3], [2, 6], [3, 4], [4, 5], [6, 7], [7, 4]]",8,8,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2511425018310547,10
49,"[[0, ""START""], [1, ""Decompose_2""], [2, ""Python_solver""], [3, ""Combine_all""], [4, ""Solver""], [5, ""END""], [6, ""Explain""], [7, ""Extract_topic""]]","[[0, 1], [1, 2], [1, 6], [2, 3], [3, 4], [4, 5], [6, 7], [7, 3]]",8,8,0.0540925,"[0.0525, 0.003675, 0.0052499999999999995, 0.01925, 0.0245, 0.0034999999999999996, 0.01225, 0.26249999999999996, 0.12249999999999998, 0.034999999999999996]",0.33752150535583497,10
